"","IDEN3","SERIE","CANSIS","GROUPE","PARCELLE","COMTE","Culture_1","COMMENTA","Duree_1","Duree_1b","Culture_2","Duree_2","Culture_3","Duree_3","Duree_rotation","Dist_Site","Nbre_site","xcoord","ycoord"
"1","AAY016","ARGENTENAY","AAY",1,"016","LAC ST-JEAN OUEST","5-maïs-ensilage",NA,4,NA,NA,NA,NA,NA,NA,55,7,-8081102.348,6219088.013
"2","AAY027","ARGENTENAY","AAY",1,"027","LAC ST-JEAN OUEST","5-maïs-ensilage",NA,3,NA,NA,NA,NA,NA,NA,66,7,-8071056.634,6214897.334
"3","AAY033","ARGENTENAY","AAY",1,"033","LAC ST-JEAN OUEST","1-prairie",NA,4,NA,NA,NA,NA,NA,NA,26,7,-8085261.461,6224590.841
"4","AAY037","ARGENTENAY","AAY",1,"037","LAC ST-JEAN OUEST","1-prairie",NA,4,NA,NA,NA,NA,NA,NA,945,7,-8056100.68,6211806.08
"5","AAY062","ARGENTENAY","AAY",1,"062","LAC ST-JEAN OUEST","2-céréales",NA,3,NA,NA,NA,NA,NA,NA,113,7,-8085402.138,6224741.078
"6","AAY065","ARGENTENAY","AAY",1,"065","LAC ST-JEAN OUEST","2-céréales",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AGR044","ANGE-GARDIEN","AGR",1,"044","ROUVILLE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,609,7,-8116913.476,5686033.381
"8","AGR045","ANGE-GARDIEN","AGR",1,"045","ROUVILLE","3-maïs-grain",NA,NA,NA,NA,NA,NA,NA,NA,1119,7,-8120537.601,5672435.283
"9","AGR049","ANGE-GARDIEN","AGR",1,"049","ROUVILLE","3-maïs-grain",NA,NA,NA,NA,NA,NA,NA,NA,603,7,-8120648.239,5673521.761
"10","AGR050","ANGE-GARDIEN","AGR",1,"050","ROUVILLE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,438,7,-8118554.147,5681136.623
"11","AHG001","ACHIGAN","AHG",2,"001","GATINEAU","5-maïs-ensilage",NA,NA,NA,NA,NA,NA,NA,NA,716,7,-8471378.339,5710879.714
"12","AHG002","ACHIGAN","AHG",2,"002","GATINEAU","3-maïs-grain",NA,NA,NA,NA,NA,NA,NA,NA,412,7,-8472538.998,5709646.169
"13","AHG015","ACHIGAN","AHG",2,"015","PONTIAC","1-prairie",NA,10,NA,NA,NA,NA,NA,NA,858,7,-8479738.199,5710782.236
"14","AHG016","ACHIGAN","AHG",2,"016","PONTIAC","1-prairie",NA,7,NA,NA,NA,NA,NA,NA,786,7,-8482112.788,5709974.074
"15","AHG046","ACHIGAN","AHG",2,"046","MONTCALM","2-céréales",NA,3,NA,"pommes de terre",NA,NA,NA,NA,96,7,-8189087.724,5782931.476
"16","AHG047","ACHIGAN","AHG",2,"047","MONTCALM","2-céréales",NA,10,NA,"prairie",NA,NA,NA,NA,165,7,-8185848.975,5783370.011
"17","AHG049","ACHIGAN","AHG",2,"049","MONTCALM","1-prairie",NA,10,NA,"maïs",2,NA,NA,NA,106,7,-8190960.562,5780374.729
"18","AHG050","ACHIGAN","AHG",2,"050","MONTCALM","3-maïs-grain",NA,4,NA,"prairie",NA,NA,NA,NA,159,7,-8190982.429,5780550.862
"19","AHG051","ACHIGAN","AHG",2,"051","MONTCALM","1-prairie",NA,2,NA,"céréales",1,"maïs",1,NA,141,7,-8197460.477,5786385.595
"20","AHG052","ACHIGAN","AHG",2,"052","MONTCALM","5-maïs-ensilage",NA,2,NA,"prairie",NA,NA,NA,NA,113,7,-8197186.273,5786142.012
"21","AHG053","ACHIGAN","AHG",2,"053","MONTCALM","1-prairie",NA,5,NA,"maïs",NA,NA,NA,NA,176,7,-8198055.032,5783784.477
"22","AHG087","ACHIGAN","AHG",2,"087","PONTIAC","2-céréales",NA,3,NA,NA,NA,NA,NA,NA,43,7,-8475583.633,5709944.989
"23","AHG088","ACHIGAN","AHG",2,"088","PONTIAC","2-céréales",NA,3,NA,NA,NA,NA,NA,NA,53,7,-8475581.358,5709883.027
"24","ALB052","ALBANEL","ALB",1,"052","LAC ST-JEAN EST","2-céréales",NA,4,NA,NA,NA,NA,NA,NA,1020,7,-7986144.9,6187647.361
"25","ALB054","ALBANEL","ALB",1,"054","LAC ST-JEAN EST","1-prairie",NA,4,NA,NA,NA,NA,NA,NA,1118,7,-7985571.866,6187572.97
"26","ALB059","ALBANEL","ALB",1,"059","LAC ST-JEAN OUEST","2-céréales",NA,10,NA,NA,NA,NA,NA,NA,1672,7,-8054891.56,6208063.283
"27","ALB060","ALBANEL","ALB",1,"060","LAC ST-JEAN OUEST","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,827,7,-8061984.746,6207570.757
"28","ALM060","ALMA","ALM",1,"060","CHICOUTIMI","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,53,7,-7905089.124,6172449.085
"29","ALM061","ALMA","ALM",1,"061","CHICOUTIMI","1-prairie",NA,6,NA,"céréales",1,"prairie",5,NA,126,7,-7910476.723,6161157.812
"30","ALM074","ALMA","ALM",1,"074","CHICOUTIMI","2-céréales",NA,5,NA,NA,NA,NA,NA,NA,62,7,-7903142.416,6173940.987
"31","ALM094","ALMA","ALM",1,"094","CHICOUTIMI","2-céréales",NA,10,NA,NA,NA,NA,NA,NA,1368,7,-7906893.705,6171866.839
"32","ALM097","ALMA","ALM",1,"097","CHICOUTIMI","2-céréales",NA,5,NA,NA,NA,NA,NA,NA,619,7,-7900709.118,6172015.061
"33","ANG027","ANGLIER","ANG",1,"027","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,105,7,-8833168.859,6023562.796
"34","ANG030","ANGLIER","ANG",1,"030","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,59,7,-8816460.661,6030038.296
"35","ANG032","ANGLIER","ANG",1,"032","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,44,7,-8840241.794,5996192.016
"36","ANG044","ANGLIER","ANG",1,"044","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,15,7,-8845599.747,6003862.734
"37","ANG047","ANGLIER","ANG",1,"047","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,44,7,-8843885.951,6011232.471
"38","ANG061","ANGLIER","ANG",1,"061","TEMISCAMINGUE","2-céréales","implantation luzerne",NA,NA,NA,NA,NA,NA,NA,130,7,-8837998.535,6029738.271
"39","ANG066","ANGLIER","ANG",1,"066","TEMISCAMINGUE","1-prairie",NA,NA,NA,NA,NA,NA,NA,NA,74,7,-8843311.091,6015325.239
"40","ANG067","ANGLIER","ANG",1,"067","TEMISCAMINGUE","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,30,7,-8843699.146,6042335.172
"41","ANG075","ANGLIER","ANG",1,"075","TEMISCAMINGUE","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,293,7,-8833714.22,6024423.293
"42","ANG081","ANGLIER","ANG",1,"081","TEMISCAMINGUE","2-céréales",NA,NA,NA,NA,NA,NA,NA,NA,105,7,-8835367.393,6005958.389
