"","ID","IDEN2","SITE","PARCELLE","ANMSJR","IDECHANT","INITIALE","SERIE","CANSIS","SOLS1","SOLS2","GROUPE","COMTE","NOLOT","SUBDIVI","MUNICIPA","rang","ZONE","BANDE","RECTANGL","CARRE","DIVALPHA","ABCISSE","DIVNUM","FEUILLET","ORDONNE","SUBDIVIS","MGRS","MGRS2","Profond_roc","Profond_nappe","Profond_lit","Profond_Ap","Ligne1-2","IDEN3","DateEch","Type_pente","Classe_pente","Endroit_echant","Mode_depot","Classe_drainage","Erosion_hydrique","Ravinement","Erosion_eolienne","Amelioration_terrain","xcoord","ycoord"
"1",295,"AAY0161",1,"016","880707","Bruno Gosselin","BGD","ARGENTENAY","AAY","PL + K","PK",1,"LAC ST-JEAN OUEST","33",NA,"N.-D. DORE","6",18,"U",32,"XJ","A",77,10,"32A10",93.3,NA,"18UXJ77009330","18UXJ7700093300",NA,NA,NA,24,"Argile 32cm / Topographie bombée, pente 1/3 à partir du pied.","AAY016",1988-07-07,"2-complexe","3- 2 à 5%","4- Bas de pente","1- Fluviatile","4- Mal à très mal drainé",NA,NA,NA,"1- Drains souterrains",-8081110.04494357,6219093.04390806
"2",296,"AAY0162",2,"016","880707","Bruno Gosselin","BGD","ARGENTENAY","AAY","PL + K","PK",1,"LAC ST-JEAN OUEST","33",NA,"N.-D. DORE","6",18,"U",32,"XJ","A",77,10,"32A10",93.3,NA,"18UXJ77009330","18UXJ7700093300",NA,NA,NA,22,"Argile 42cm.","AAY016",1988-07-07,"2-complexe","1- 0 à 0,5%","5- Pied","1- Fluviatile","4- Mal à très mal drainé",NA,NA,NA,"1- Drains souterrains",-8081101.08166164,6219096.10531943
"3",297,"AAY0163",3,"016","880707","Bruno Gosselin","BGD","ARGENTENAY","AAY","PL + K","PK",1,"LAC ST-JEAN OUEST","33",NA,"N.-D. DORE","6",18,"U",32,"XJ","A",77,10,"32A10",93.3,NA,"18UXJ77009330","18UXJ7700093300",NA,NA,NA,25,"Topographie bombée, pente faible / Argile 27cm.","AAY016",1988-07-07,"2-complexe","2- 0,5 à 2%","4- Bas de pente","1- Fluviatile","4- Mal à très mal drainé",NA,NA,NA,"1- Drains souterrains",-8081093.94863355,6219090.54210739
"4",298,"AAY0164",4,"016","880707","Bruno Gosselin","BGD","ARGENTENAY","AAY","PL + K","PK",1,"LAC ST-JEAN OUEST","33",NA,"N.-D. DORE","6",18,"U",32,"XJ","A",77,10,"32A10",93.3,NA,"18UXJ77009330","18UXJ7700093300",NA,NA,NA,26,"Argile 62cm.","AAY016",1988-07-07,"2-complexe","2- 0,5 à 2%","4- Bas de pente","1- Fluviatile","4- Mal à très mal drainé",NA,NA,NA,"1- Drains souterrains",-8081094.20478859,6219082.16524992
"5",299,"AAY0165",5,"016","880707","Bruno Gosselin","BGD","ARGENTENAY","AAY","PL + K","PK",1,"LAC ST-JEAN OUEST","33",NA,"N.-D. DORE","6",18,"U",32,"XJ","A",77,10,"32A10",93.3,NA,"18UXJ77009330","18UXJ7700093300",NA,NA,NA,21,"Argile 43cm.","AAY016",1988-07-07,"2-complexe","2- 0,5 à 2%","4- Bas de pente","1- Fluviatile","4- Mal à très mal drainé",NA,NA,NA,"1- Drains souterrains",-8081103.45415689,6219080.25685308
"6",300,"AAY0166",6,"016","880707","Bruno Gosselin","BGD","ARGENTENAY","AAY","PL + K","PK",1,"LAC ST-JEAN OUEST","33",NA,"N.-D. DORE","6",18,"U",32,"XJ","A",77,10,"32A10",93.3,NA,"18UXJ77009330","18UXJ7700093300",NA,NA,NA,23,"Argile 25cm.","AAY016",1988-07-07,"2-complexe","1- 0 à 0,5%","5- Pied","1- Fluviatile","4- Mal à très mal drainé",NA,NA,NA,"1- Drains souterrains",-8081111.33077599,6219085.79534291
"7",301,"AAY0167",7,"016","880707","Bruno Gosselin","BGD","ARGENTENAY","AAY","PL + K","PK",1,"LAC ST-JEAN OUEST","33",NA,"N.-D. DORE","6",18,"U",32,"XJ","A",77,10,"32A10",93.3,NA,"18UXJ77009330","18UXJ7700093300",NA,NA,NA,25,"Argile 37cm.","AAY016",1988-07-07,"2-complexe","1- 0 à 0,5%",NA,"1- Fluviatile","4- Mal à très mal drainé",NA,NA,NA,"1- Drains souterrains",-8081102.37219807,6219088.18388039
"8",302,"AAY0271",1,"027","880719","Bruno Gosselin","BGD","ARGENTENAY","AAY","K + PL",NA,1,"LAC ST-JEAN OUEST","9",NA,"ST-FELICIEN","SIMPLE",18,"U",32,"XJ","A",83.9,10,"32A10",90.8,NA,"18UXJ83909080","18UXJ8390090800",NA,NA,NA,26,"Argile entre 35 et 45","AAY027",1988-07-19,NA,NA,NA,"1- Fluviatile","4- Mal à très mal drainé",NA,NA,NA,"1- Drains souterrains",-8071067.66028218,6214902.64095025
"9",303,"AAY0272",2,"027","880719","Bruno Gosselin","BGD","ARGENTENAY","AAY","K + PL",NA,1,"LAC ST-JEAN OUEST","9",NA,"ST-FELICIEN","SIMPLE",18,"U",32,"XJ","A",83.9,10,"32A10",90.8,NA,"18UXJ83909080","18UXJ8390090800",NA,NA,NA,26,"Argile à 40","AAY027",1988-07-19,NA,NA,NA,"1- Fluviatile","4- Mal à très mal drainé",NA,NA,NA,"1- Drains souterrains",-8071055.74276723,6214909.29083549
"10",304,"AAY0273",3,"027","880719","Bruno Gosselin","BGD","ARGENTENAY","AAY","K + PL",NA,1,"LAC ST-JEAN OUEST","9",NA,"ST-FELICIEN","SIMPLE",18,"U",32,"XJ","A",83.9,10,"32A10",90.8,NA,"18UXJ83909080","18UXJ8390090800",NA,NA,NA,22,"Argile à 35 ou 40","AAY027",1988-07-19,NA,NA,NA,"1- Fluviatile","4- Mal à très mal drainé",NA,NA,NA,"1- Drains souterrains",-8071045.45275386,6214901.91236081
